date,temp,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,generation fossil,generation renewable,generation other,total load actual,price day ahead,OT
2021-01-01 00:00:00+00:00,3.29,1010,87,4.6,240,0,20,4867,4539,7172,24623,50.87,54.9
2021-01-01 01:00:00+00:00,2.85,1010,87,3.1,260,0,0,4885,4987,7171,23436,48.19,53.06
2021-01-01 02:00:00+00:00,3.45,1010,84,6.2,260,0.13,0,4455,6331,7173,21319,44.68,50.13
2021-01-01 03:00:00+00:00,3.72,1010,83,4.1,270,0.11,0,4118,8630,7173,19606,38.5,45.4
2021-01-01 04:00:00+00:00,3.15,1010,84,4.6,280,0.21,0,4071,10265,7173,18753,36.8,42.9
2021-01-01 05:00:00+00:00,2.78,1010,84,4.6,270,0,0,3943,11155,7172,18566,36.55,42.49
2021-01-01 06:00:00+00:00,2.03,1011,85,3.1,280,0,75,3901,11272,7174,18808,36.6,42.01
2021-01-01 07:00:00+00:00,2.61,1011,79,4.6,300,0,20,3820,11667,7174,19323,36.55,42.02
2021-01-01 08:00:00+00:00,2.08,1012,80,6.2,280,0,20,3850,12800,7173,19471,36.55,42.92
2021-01-01 09:00:00+00:00,3.73,1013,72,6.7,300,0,20,3699,14066,7171,20552,36.55,42.04
2021-01-01 10:00:00+00:00,4.54,1012,68,6.7,310,0,20,3672,15675,7169,22912,37.55,42.42
2021-01-01 11:00:00+00:00,5.33,1012,59,9.3,300,0,20,3759,16244,7170,24840,37.55,42.42
2021-01-01 12:00:00+00:00,6.31,1011,52,8.05,293,0,20,3774,17329,7170,25771,37.55,46.6
2021-01-01 13:00:00+00:00,6.35,1011,52,8.8,280,0.25,40,3748,18056,7168,26778,37.55,46.45
2021-01-01 14:00:00+00:00,6.3,1010,52,9.8,300,0.1,75,4176,17618,7168,26983,36.6,46.02
2021-01-01 15:00:00+00:00,6.18,1010,52,8.2,290,0,40,3860,16703,7170,25303,35.5,41.55
2021-01-01 16:00:00+00:00,5.81,1010,52,6.2,280,0,40,4047,13814,7169,24720,36,42.25
2021-01-01 17:00:00+00:00,4.87,1011,58,6.2,270,0,40,4113,10298,7164,25117,38.5,44.34
2021-01-01 18:00:00+00:00,4.16,1011,62,5.1,240,0,40,4497,7125,7169,27183,52.01,57.76
2021-01-01 19:00:00+00:00,4.01,1011,61,7.2,270,0,20,5016,6818,7170,28195,55.16,65.59
2021-01-01 20:00:00+00:00,3.62,1012,71,7.7,270,0,20,5393,6025,7171,28787,57.4,66.82
2021-01-01 21:00:00+00:00,1.9,1012,79,6.2,240,0,0,4784,7289,7170,29104,53.86,61.19
2021-01-01 22:00:00+00:00,1.59,1013,76,3.6,270,0,0,4876,7197,7171,28316,53.45,59.49
2021-01-01 23:00:00+00:00,2.34,1014,65,4.1,300,0,0,4518,8648,7173,26108,49.72,56.73
2021-01-02 00:00:00+00:00,1.61,1014,67,4.6,280,0,0,4509,10670,7174,23648,46.69,51.78
2021-01-02 01:00:00+00:00,1.46,1014,67,3.13,315,0,0,4514,11253,7173,21311,42.43,48.44
2021-01-02 02:00:00+00:00,0.78,1014,71,6.7,290,0,0,4494,12023,7171,20039,40.1,45.68
2021-01-02 03:00:00+00:00,0.83,1014,68,2.68,315,0,0,4634,13017,7171,19347,39.11,44.89
2021-01-02 04:00:00+00:00,0.35,1015,66,6.2,270,0,0,4765,13331,7173,19171,37.55,43.74
